Hour,Marginal_Price_GBP,Wind_Generated_MWh,Solar_Generated_MWh,Gas_Generated_MWh,Demand_MWh,Supply_Shortage_MWh
150,66.87716,8971.575866901901,794.0328801250874,7851.891252973011,17617.5,0.0
151,65.51232,8901.482676190233,2913.54029898282,6486.977024826947,18302.0,0.0
152,63.46506000000001,8535.690348685735,5492.024803686019,5770.284847628245,19798.0,0.0
153,64.8299,7737.813244421332,7935.27012500168,5200.916630576989,20874.0,0.0
154,58.3158909090909,6893.1671576028875,11260.933058746112,3048.3997836510007,21202.5,0.0
155,58.3158909090909,5732.750828416836,13011.157391264249,2529.591780318915,21273.5,0.0
156,58.3158909090909,5023.769147303189,15986.041361880914,518.1894908158974,21528.0,0.0
157,58.3158909090909,4448.825575100996,16601.242189018845,25.93223588015826,21076.0,0.0
158,0.0,3607.200718828618,17512.3029578431,0.0,20710.5,0.0
159,60.79741818181818,2982.40718921149,16183.805934833994,1580.786875954518,20747.0,0.0
160,59.55665454545454,3082.2640745192984,15327.46044840883,3566.775477071871,21976.5,0.0
161,75.0662,2518.6295302456533,11991.089976971405,9506.780492782942,24016.5,0.0
162,82.74342499999999,2463.2710532497235,8862.461216064923,14240.267730685355,25566.0,0.0
163,91.63925714285715,1994.215629600038,6440.487750988522,17500.0,25960.0,25.296619411441498
164,87.7397142857143,1625.285122739188,3757.460416213241,17500.0,25806.5,2923.7544610475707
165,90.66437142857144,1303.9304168096642,1514.954096229706,17500.0,25137.5,4818.615486960629
166,87.7397142857143,1093.7933260345942,131.85346445675472,17500.0,24193.5,5467.853209508652
167,83.84017142857144,1073.6195006914065,0.0004612050561313755,17500.0,21873.5,3299.880038103536
168,82.86528571428573,1927.5370777878716,0.0,17500.0,20429.5,1001.9629222121293
